,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
129,bdd,this work,time savings,bike,1.8807404770380916,1.8807404770380916,1.8807404770380916,0.9,"('bdd', 'bike')",2
130,bdd,this work,savings in frames,bus,1.457383279044517,1.457383279044517,1.457383279044517,0.9,"('bdd', 'bus')",5
131,bdd,this work,time savings,bus,1.4573832790445167,1.4573832790445167,1.4573832790445167,0.9,"('bdd', 'bus')",5
132,bdd,this work,savings in frames,motor,1.755270092226614,1.755270092226614,1.755270092226614,0.9,"('bdd', 'motor')",3
133,bdd,this work,time savings,motor,1.7552700922266138,1.7552700922266138,1.7552700922266138,0.9,"('bdd', 'motor')",3
134,bdd,this work,savings in frames,person,1.713335550382441,1.713335550382441,1.713335550382441,0.9,"('bdd', 'person')",1
135,bdd,this work,time savings,person,1.713335550382441,1.713335550382441,1.713335550382441,0.9,"('bdd', 'person')",1
136,bdd,this work,savings in frames,rider,1.7983079526226735,1.7983079526226735,1.7983079526226735,0.9,"('bdd', 'rider')",4
137,bdd,this work,time savings,rider,1.7983079526226735,1.7983079526226735,1.7983079526226735,0.9,"('bdd', 'rider')",4
138,bdd,this work,savings in frames,traffic light,1.4265440210249671,1.4265440210249671,1.4265440210249671,0.9,"('bdd', 'traffic light')",7
139,bdd,this work,time savings,traffic light,1.4265440210249671,1.4265440210249671,1.4265440210249671,0.9,"('bdd', 'traffic light')",7
140,bdd,this work,savings in frames,traffic sign,1.2192595857205817,1.2192595857205817,1.2192595857205817,0.9,"('bdd', 'traffic sign')",8
141,bdd,this work,time savings,traffic sign,1.219259585720582,1.219259585720582,1.219259585720582,0.9,"('bdd', 'traffic sign')",8
142,bdd,this work,savings in frames,truck,1.3901011176157532,1.3901011176157532,1.3901011176157532,0.9,"('bdd', 'truck')",6
143,bdd,this work,time savings,truck,1.3901011176157532,1.3901011176157532,1.3901011176157532,0.9,"('bdd', 'truck')",6
0,bdd,BlazeIt,savings in frames,geomean,,0.9956760215096617,,0.1,"('bdd', 'geomean')",0
1,bdd,BlazeIt,time savings,geomean,,0.10951260287506595,,0.1,"('bdd', 'geomean')",0
2,bdd,BlazeIt,savings in frames,geomean,,0.8361610677536612,,0.5,"('bdd', 'geomean')",0
3,bdd,BlazeIt,time savings,geomean,,0.5075263962468185,,0.5,"('bdd', 'geomean')",0
4,bdd,BlazeIt,savings in frames,geomean,,0.9860252086096353,,0.9,"('bdd', 'geomean')",0
5,bdd,BlazeIt,time savings,geomean,,0.8024356370622603,,0.9,"('bdd', 'geomean')",0
6,bdd,random,savings in frames,geomean,,0.8724474818218576,,0.1,"('bdd', 'geomean')",0
