,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
174,this work,1.4773175542406314,1.4773175542406314,1.4773175542406314,bdd,traffic sign,savings in frames,0.5,"('bdd', 'traffic sign')",8
175,random+,1.1140307387208725,1.1140307387208725,1.1140307387208725,bdd,traffic sign,savings in frames,0.5,"('bdd', 'traffic sign')",8
176,BlazeIt,0.9937678062678063,0.9937678062678063,0.9937678062678063,bdd,traffic sign,savings in frames,0.9,"('bdd', 'traffic sign')",8
177,random,1.0,1.0,1.0,bdd,traffic sign,savings in frames,0.9,"('bdd', 'traffic sign')",8
178,this work,1.2298369325694138,1.2298369325694138,1.2298369325694138,bdd,traffic sign,savings in frames,0.9,"('bdd', 'traffic sign')",8
179,random+,1.0086752213988794,1.0086752213988794,1.0086752213988794,bdd,traffic sign,savings in frames,0.9,"('bdd', 'traffic sign')",8
180,BlazeIt,0.14884883075483757,0.14884883075483757,0.14884883075483757,bdd,traffic sign,time savings,0.1,"('bdd', 'traffic sign')",8
181,random,1.0,1.0,1.0,bdd,traffic sign,time savings,0.1,"('bdd', 'traffic sign')",8
182,this work,1.33125,1.33125,1.33125,bdd,traffic sign,time savings,0.1,"('bdd', 'traffic sign')",8
183,random+,1.1767955801104972,1.1767955801104972,1.1767955801104972,bdd,traffic sign,time savings,0.1,"('bdd', 'traffic sign')",8
184,BlazeIt,0.6526319304531826,0.6526319304531826,0.6526319304531826,bdd,traffic sign,time savings,0.5,"('bdd', 'traffic sign')",8
185,random,1.0,1.0,1.0,bdd,traffic sign,time savings,0.5,"('bdd', 'traffic sign')",8
186,this work,1.4773175542406312,1.4773175542406312,1.4773175542406312,bdd,traffic sign,time savings,0.5,"('bdd', 'traffic sign')",8
187,random+,1.1140307387208725,1.1140307387208725,1.1140307387208725,bdd,traffic sign,time savings,0.5,"('bdd', 'traffic sign')",8
188,BlazeIt,0.8145088510872762,0.8145088510872762,0.8145088510872762,bdd,traffic sign,time savings,0.9,"('bdd', 'traffic sign')",8
189,random,1.0,1.0,1.0,bdd,traffic sign,time savings,0.9,"('bdd', 'traffic sign')",8
190,this work,1.2298369325694143,1.2298369325694143,1.2298369325694143,bdd,traffic sign,time savings,0.9,"('bdd', 'traffic sign')",8
191,random+,1.0086752213988797,1.0086752213988797,1.0086752213988797,bdd,traffic sign,time savings,0.9,"('bdd', 'traffic sign')",8
192,BlazeIt,1.1416666666666666,1.1416666666666666,1.1416666666666666,bdd,truck,savings in frames,0.1,"('bdd', 'truck')",6
193,random,1.0,1.0,1.0,bdd,truck,savings in frames,0.1,"('bdd', 'truck')",6
194,this work,1.7125,1.7125,1.7125,bdd,truck,savings in frames,0.1,"('bdd', 'truck')",6
195,random+,1.1322314049586777,1.1322314049586777,1.1322314049586777,bdd,truck,savings in frames,0.1,"('bdd', 'truck')",6
196,BlazeIt,1.0028719126938541,1.0028719126938541,1.0028719126938541,bdd,truck,savings in frames,0.5,"('bdd', 'truck')",6
197,random,1.0,1.0,1.0,bdd,truck,savings in frames,0.5,"('bdd', 'truck')",6
198,this work,1.8855291576673867,1.8855291576673867,1.8855291576673867,bdd,truck,savings in frames,0.5,"('bdd', 'truck')",6
199,random+,1.2150313152400836,1.2150313152400836,1.2150313152400836,bdd,truck,savings in frames,0.5,"('bdd', 'truck')",6
200,BlazeIt,0.9921568627450982,0.9921568627450982,0.9921568627450982,bdd,truck,savings in frames,0.9,"('bdd', 'truck')",6
201,random,1.0,1.0,1.0,bdd,truck,savings in frames,0.9,"('bdd', 'truck')",6
202,this work,1.4137839276210753,1.4137839276210753,1.4137839276210753,bdd,truck,savings in frames,0.9,"('bdd', 'truck')",6
203,random+,1.0170367534456357,1.0170367534456357,1.0170367534456357,bdd,truck,savings in frames,0.9,"('bdd', 'truck')",6
204,BlazeIt,0.10103378829827461,0.10103378829827461,0.10103378829827461,bdd,truck,time savings,0.1,"('bdd', 'truck')",6
205,random,1.0,1.0,1.0,bdd,truck,time savings,0.1,"('bdd', 'truck')",6
206,this work,1.7125000000000001,1.7125000000000001,1.7125000000000001,bdd,truck,time savings,0.1,"('bdd', 'truck')",6
207,random+,1.1322314049586777,1.1322314049586777,1.1322314049586777,bdd,truck,time savings,0.1,"('bdd', 'truck')",6
208,BlazeIt,0.5865000158793073,0.5865000158793073,0.5865000158793073,bdd,truck,time savings,0.5,"('bdd', 'truck')",6
209,random,1.0,1.0,1.0,bdd,truck,time savings,0.5,"('bdd', 'truck')",6
210,this work,1.8855291576673863,1.8855291576673863,1.8855291576673863,bdd,truck,time savings,0.5,"('bdd', 'truck')",6
211,random+,1.2150313152400836,1.2150313152400836,1.2150313152400836,bdd,truck,time savings,0.5,"('bdd', 'truck')",6
212,BlazeIt,0.8061014256494922,0.8061014256494922,0.8061014256494922,bdd,truck,time savings,0.9,"('bdd', 'truck')",6
213,random,1.0,1.0,1.0,bdd,truck,time savings,0.9,"('bdd', 'truck')",6
214,this work,1.4137839276210753,1.4137839276210753,1.4137839276210753,bdd,truck,time savings,0.9,"('bdd', 'truck')",6
215,random+,1.0170367534456357,1.0170367534456357,1.0170367534456357,bdd,truck,time savings,0.9,"('bdd', 'truck')",6
